tp_fundo,cnpj_fundo,denom_social,dt_reg,dt_const,cd_cvm,dt_cancel,sit,dt_ini_sit,dt_ini_ativ,dt_ini_exerc,dt_fim_exerc,classe,dt_ini_classe,rentab_fundo,condom,fundo_cotas,fundo_exclusivo,trib_lprazo,publico_alvo,entid_invest,taxa_perfm,inf_taxa_perfm,taxa_adm,inf_taxa_adm,vl_patrim_liq,dt_patrim_liq,diretor,cnpj_admin,admin,pf_pj_gestor,cpf_cnpj_gestor,gestor,cnpj_auditor,auditor,cnpj_custodiante,custodiante,cnpj_controlador,controlador,invest_cempr_exter,classe_anbima,idade_anos
FACFIF,06.537.068/0001-90,AMAZÔNIA CREDIT 90 - FUNDO DE APLICAÇÃO EM QUOTAS DE FUNDOS DE INVESTIMENTO,2004-08-02,2004-06-16,50768.0,,EM FUNCIONAMENTO NORMAL,2004-08-02,2004-08-02,2026-01-01,2026-12-31,,,,,,,,,,,,,,1260.7,2023-06-13,,04.902.979/0001-44,BANCO DA AMAZÔNIA S.A.,,,,61.366.936/0001-25,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,,,,,,,21.793292265571527
FACFIF,07.408.147/0001-64,"FUNDO AMAZONIA DE APLICAÇÃO EM COTAS DE FUNDO DE INVESTIMENTO-AMAZONIA MIX ""2""",2005-04-11,,52264.0,,EM FUNCIONAMENTO NORMAL,2005-04-11,2005-04-11,2026-01-01,2026-12-31,,,,,,,,,,,,,,19103.37,2023-06-13,,04.902.979/0001-44,BANCO DA AMAZÔNIA S.A.,,,,,,,,,,,,21.10335386721424
FI,42.754.444/0001-62,ISTAMBUL FUNDO DE INVESTIMENTO MULTIMERCADO LONGO PRAZO INVESTIMENTO NO EXTERIOR,2021-11-29,2021-07-13,440930.0,,EM FUNCIONAMENTO NORMAL,2021-12-01,2021-12-01,2026-01-01,2026-12-31,Multimercado,2021-11-29,,Fechado,N,N,,Profissional,,,,,,65504019.85,2026-05-11,FELIPE LINS FABBRIANI,33.851.064/0001-55,DILLON S/A DTVM,PJ,02.295.841/0001-07,SECURITY ADM. DE RECURSOS LTDA,09.496.375/0001-69,INFORCONT AUDITORES INDEPENDENTES,16.695.922/0001-09,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,16.695.922/0001-09,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,N,Multimercados Invest. no Exterior,4.468172484599589
FI,42.562.105/0001-84,Agile Investe Fundo de Investimento Multimercado,2022-01-18,2022-01-18,446335.0,,EM FUNCIONAMENTO NORMAL,2022-03-22,2022-03-22,2026-01-01,2026-12-31,Multimercado,2022-01-18,,Aberto,N,N,,Público Geral,,,,,,0.0,2022-11-03,LUIS ANTONIO ALBUQUERQUE LESSI,27.463.343/0001-49,MDL TRUST SERVIÇOS FIDUCIÁRIOS LTDA.,PJ,11.141.257/0001-80,AGILE ASSET GESTÃO DE INVESTIMENTOS LTDA,19.280.834/0001-26,NEXT AUDITORES INDEPENDENTES S/S LTDA.,15.489.568/0001-95,INTRA INVESTIMENTOS DTVM LTDA,15.489.568/0001-95,INTRA INVESTIMENTOS DTVM LTDA,N,,4.331279945242985
FI,02.727.085/0001-30,MÁXIMA  FMP - FGTS  PETROBRAS,2022-04-09,2000-07-07,449890.0,,EM FUNCIONAMENTO NORMAL,2022-04-13,2022-04-09,2026-04-01,2027-03-31,FMP-FGTS,2022-04-08,,Aberto,N,N,,Público Geral,,,,,,1401831.81,2025-11-12,EDUARDO FELIX BIANCHINI,33.886.862/0001-12,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",PJ,18.167.777/0001-00,ACURA GESTORA DE RECURSOS LTDA,19.280.834/0001-26,NEXT AUDITORES INDEPENDENTES S/S LTDA.,33.886.862/0001-12,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",,,N,,4.1095140314852845
FI,51.777.660/0001-14,ANZEN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,2023-08-11,2023-08-10,504092.0,,EM FUNCIONAMENTO NORMAL,2025-07-29,2025-07-29,2026-05-01,2027-04-30,Multimercado,2023-08-11,,Fechado,S,N,,Profissional,,,,,,40646327.71,2026-05-13,VITOR PEREDO MOSCATELLI,40.434.681/0001-10,AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,PJ,42.221.617/0001-87,ASSET BANK ASSET MANAGEMENT LTDA.,19.280.834/0001-26,NEXT AUDITORES INDEPENDENTES S/S LTDA.,40.434.681/0001-10,AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40.434.681/0001-10,AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,N,Multimercados Livre,2.7707049965776864
FI-FGTS,09.234.078/0001-45,FUNDO DE INVESTIMENTO DO FUNDO DE GARANTIA DO TEMPO DE SERVIÇO - FI-FGTS,2008-06-04,2008-06-04,1759.0,,EM FUNCIONAMENTO NORMAL,2008-07-01,2008-07-01,2026-01-01,2026-12-31,,,,,,,,,,,,,,11673771707.4,2009-06-30,,00.360.305/0001-04,CAIXA ECONOMICA FEDERAL,PJ,00.360.305/0001-04,CAIXA ECONOMICA FEDERAL,57.755.217/0001-29,KPMG AUDITORES INDEPENDENTES LTDA.,60.746.948/0001-12,BANCO BRADESCO S.A.,,,,,17.95482546201232
FIDC,07.766.151/0001-02,FIDC BCSUL VERAX MULTICRED FINANCEIRO,2006-01-09,2006-01-13,206002.0,,EM FUNCIONAMENTO NORMAL,2006-01-18,2006-01-18,2026-01-01,2026-12-31,FIDC,2006-01-09,,Fechado,N,,,Qualificado,N,,,,,0.0,2017-03-31,,62.382.908/0001-64,MASSA FALIDA DA CRUZEIRO DO SUL S.A. DTVM,PJ,05.917.347/0001-17,BCSUL VERAX SERVIÇOS FINANCEIROS LTDA,42.170.852/0001-77,UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES,,,,,,,20.355920602327174
FIDC,42.700.668/0001-91,GRAND - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,2021-11-29,2021-07-09,221446.0,,EM FUNCIONAMENTO NORMAL,2021-12-01,2021-12-01,2026-01-01,2026-12-31,FIDC,2022-06-21,,Fechado,N,,,Qualificado,N,,,,,65721810.4,2026-04-30,,33.851.064/0001-55,DILLON S/A DTVM,PJ,02.295.841/0001-07,SECURITY ADM. DE RECURSOS LTDA,09.496.375/0001-69,INFORCONT AUDITORES INDEPENDENTES,16.695.922/0001-09,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,,,,,4.468172484599589
FIDC,47.388.724/0001-18,3R - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,2023-02-28,2022-07-28,223073.0,,EM FUNCIONAMENTO NORMAL,2023-03-15,2023-03-15,2026-01-01,2026-12-31,FIDC-NP,2022-07-28,,Fechado,N,,,Qualificado,N,,,,,-28327.24,2026-04-30,,33.851.064/0001-55,DILLON S/A DTVM,PJ,02.295.841/0001-07,SECURITY ADM. DE RECURSOS LTDA,09.496.375/0001-69,INFORCONT AUDITORES INDEPENDENTES,16.695.922/0001-09,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,,,,,3.2197125256673513
